xg,possession,shots_on_target,pass_accuracy,ppda,tackles_successful,interceptions,aerial_duels_won_pct,outcome
1.1,58.8,1.0,85.40925266903915,10.0,21.0,10.0,50.0,Loss
0.43,41.2,2.0,78.88040712468194,8.727272727272727,42.0,13.0,50.0,Win
1.99,77.4,8.0,88.17966903073287,4.527777777777778,30.0,6.0,0.0,Win
1.46,22.6,2.0,65.9919028340081,16.217391304347824,25.0,21.0,0.0,Loss
0.7,49.2,4.0,84.40065681444992,15.970588235294118,22.0,12.0,50.0,Draw
2.38,50.8,4.0,86.19047619047619,14.277777777777779,24.0,12.0,50.0,Draw
0.1,54.4,1.0,82.78985507246377,6.648148148148148,49.0,5.0,50.0,Draw
1.65,45.6,5.0,77.5377969762419,7.616666666666666,45.0,15.0,50.0,Draw
1.16,18.8,3.0,69.96047430830039,24.21951219512195,27.0,14.0,50.0,Win
0.86,81.2,5.0,90.8508691674291,4.783783783783784,28.0,9.0,50.0,Loss
0.46,56.1,3.0,85.91065292096219,14.5,19.0,7.0,0.0,Draw
0.51,43.9,2.0,82.67543859649122,12.5,36.0,4.0,0.0,Draw
0.92,49.9,1.0,78.05825242718447,8.192307692307692,41.0,11.0,50.0,Loss
1.17,50.1,5.0,82.39845261121856,8.933333333333334,37.0,8.0,50.0,Win
0.36,35.9,2.0,78.38541666666666,11.313725490196079,36.0,15.0,50.0,Draw
0.85,64.1,1.0,84.11078717201165,6.142857142857143,37.0,12.0,50.0,Draw
0.62,60.6,3.0,78.35420393559929,6.305555555555555,26.0,10.0,50.0,Loss
1.45,39.4,8.0,62.53443526170799,7.423728813559322,44.0,15.0,50.0,Win
0.3,35.3,3.0,76.17728531855957,9.894736842105264,44.0,13.0,50.0,Win
0.48,64.7,3.0,85.32526475037821,5.092592592592593,42.0,12.0,50.0,Loss
0.21,35.8,1.0,78.06267806267806,14.552631578947368,34.0,4.0,50.0,Loss
2.92,64.2,8.0,87.77777777777777,9.448275862068966,20.0,9.0,50.0,Win
1.43,50.7,3.0,83.97085610200364,11.891891891891891,29.0,8.0,50.0,Win
0.61,49.3,5.0,82.55159474671669,9.604166666666666,33.0,15.0,50.0,Loss
2.1,61.6,5.0,86.61654135338345,9.882352941176471,31.0,3.0,50.0,Win
0.78,38.4,3.0,80.96385542168674,9.76271186440678,47.0,12.0,50.0,Loss
0.69,46.7,4.0,80.0,8.931818181818182,35.0,9.0,0.0,Loss
1.12,53.3,3.0,80.04073319755601,8.6,29.0,11.0,0.0,Win
0.6,57.9,2.0,85.24590163934425,7.533333333333333,32.0,13.0,50.0,Draw
1.4,42.1,3.0,76.52370203160271,10.4,40.0,10.0,50.0,Draw
1.73,36.7,5.0,76.8545994065282,11.372093023255815,31.0,12.0,50.0,Win
1.97,63.3,5.0,84.02061855670104,6.023255813953488,38.0,5.0,50.0,Loss
1.71,63.1,5.0,89.78365384615384,13.655172413793103,25.0,4.0,44.44444444444444,Win
0.14,36.9,3.0,81.48148148148148,19.657894736842106,26.0,12.0,55.55555555555556,Loss
1.93,48.8,6.0,85.92592592592592,8.553571428571429,41.0,15.0,50.0,Win
0.89,51.2,3.0,84.47971781305115,8.923076923076923,41.0,11.0,50.0,Loss
2.77,73.8,11.0,87.53026634382567,6.71875,29.0,3.0,50.0,Loss
1.25,26.2,4.0,73.12925170068027,12.910714285714286,48.0,8.0,50.0,Win
1.57,60.8,6.0,84.21052631578947,7.875,30.0,10.0,0.0,Draw
1.06,39.2,1.0,75.53956834532374,9.379310344827585,46.0,12.0,0.0,Draw
0.53,60.0,4.0,80.33088235294117,5.078431372549019,43.0,8.0,50.0,Draw
1.14,40.0,2.0,71.54696132596685,11.205128205128204,31.0,8.0,50.0,Draw
0.96,45.2,3.0,80.08849557522124,10.5,34.0,10.0,50.0,Loss
0.9,54.8,4.0,84.46069469835467,12.482758620689655,23.0,6.0,50.0,Win
0.67,52.7,3.0,84.45692883895131,10.552631578947368,29.0,9.0,50.0,Win
2.55,47.3,3.0,83.54166666666667,13.264705882352942,22.0,12.0,50.0,Loss
0.92,53.8,5.0,84.92462311557789,9.304347826086957,32.0,14.0,50.0,Win
0.29,46.2,0.0,83.4307992202729,12.365853658536585,33.0,8.0,50.0,Loss
4.49,51.9,7.0,82.77858176555716,9.31578947368421,33.0,24.0,50.0,Draw
5.86,48.1,10.0,82.96875,10.79245283018868,43.0,10.0,50.0,Draw
1.03,32.8,5.0,75.93582887700535,12.622641509433961,38.0,15.0,50.0,Loss
4.32,67.2,14.0,87.33681462140991,7.282051282051282,28.0,11.0,50.0,Win
0.77,56.8,3.0,85.1373182552504,11.0,26.0,8.0,45.45454545454545,Loss
0.2,43.2,1.0,79.57446808510639,10.755102040816327,37.0,12.0,54.54545454545454,Win
5.89,54.9,14.0,80.8080808080808,6.888888888888889,50.0,13.0,50.0,Draw
5.41,45.1,8.0,76.14035087719299,8.88888888888889,48.0,15.0,50.0,Draw
0.85,50.8,4.0,83.14393939393939,12.676470588235293,26.0,8.0,0.0,Win
0.99,49.2,2.0,84.1796875,10.707317073170731,25.0,16.0,0.0,Loss
