match_id,team,opponent,xg,possession,shots_on_target,shots_total,passes_completed,pass_accuracy,ppda,tackles_successful,interceptions,clearances,fouls_committed,yellow_cards,corners,crosses_completed,aerial_duels_won_pct,errors_leading_to_shot,outcome
1,Qatar,Ecuador,0.3,47.0,0.0,5.0,377.0,80.38,35.83,10.0,2.0,18.0,15.0,0,1.0,8.0,51.85,0,Loss
1,Ecuador,Qatar,1.2,53.0,2.0,5.0,430.0,82.38,14.5,14.0,12.0,7.0,15.0,0,3.0,14.0,48.15,0,Win
2,England,IR Iran,2.1,77.0,7.0,13.0,740.0,88.31,8.1,13.0,7.0,4.0,9.0,0,8.0,21.0,50.0,0,Win
2,IR Iran,England,1.4,23.0,2.0,7.0,162.0,65.32,26.43,12.0,16.0,23.0,14.0,0,0.0,8.0,50.0,0,Loss
3,Senegal,Netherlands,0.9,46.0,4.0,15.0,333.0,77.99,16.12,14.0,10.0,32.0,13.0,0,6.0,19.0,52.38,0,Loss
3,Netherlands,Senegal,0.7,54.0,3.0,10.0,387.0,78.34,20.81,10.0,6.0,16.0,13.0,0,7.0,25.0,47.62,0,Win
4,United States,Wales,0.8,58.0,1.0,6.0,524.0,83.97,16.75,14.0,6.0,18.0,15.0,0,5.0,30.0,53.85,0,Draw
4,Wales,United States,1.5,42.0,2.0,6.0,335.0,75.11,20.15,18.0,8.0,31.0,10.0,0,3.0,14.0,46.15,0,Draw
5,Argentina,Saudi Arabia,2.2,69.0,5.0,14.0,546.0,82.85,7.5,17.0,9.0,11.0,7.0,0,9.0,23.0,69.57,0,Loss
5,Saudi Arabia,Argentina,0.1,31.0,2.0,3.0,195.0,66.33,17.06,18.0,14.0,26.0,21.0,0,2.0,10.0,30.43,0,Win
6,Denmark,Tunisia,1.4,61.0,5.0,11.0,533.0,82.13,13.39,12.0,11.0,12.0,9.0,0,11.0,25.0,60.61,0,Draw
6,Tunisia,Denmark,0.9,39.0,1.0,13.0,308.0,73.51,16.66,24.0,8.0,38.0,10.0,0,9.0,13.0,39.39,0,Draw
7,Mexico,Poland,0.7,60.0,4.0,11.0,436.0,79.71,12.14,16.0,5.0,19.0,14.0,0,6.0,33.0,47.06,0,Draw
7,Poland,Mexico,0.9,40.0,1.0,5.0,255.0,70.25,17.44,17.0,8.0,29.0,15.0,0,5.0,15.0,52.94,0,Draw
8,France,Australia,4.0,62.0,6.0,23.0,678.0,88.28,12.22,20.0,12.0,6.0,5.0,0,8.0,27.0,66.67,0,Win
8,Australia,France,0.5,38.0,1.0,4.0,391.0,82.66,30.82,13.0,9.0,23.0,11.0,0,1.0,6.0,33.33,0,Loss
9,Morocco,Croatia,0.4,36.0,2.0,8.0,298.0,77.6,17.09,21.0,13.0,21.0,16.0,0,0.0,8.0,53.85,0,Draw
9,Croatia,Morocco,0.5,64.0,1.0,5.0,581.0,83.84,11.04,17.0,10.0,11.0,11.0,0,5.0,18.0,46.15,0,Draw
10,Germany,Japan,3.1,74.0,8.0,25.0,727.0,86.96,14.57,11.0,3.0,4.0,6.0,0,6.0,25.0,63.64,0,Loss
10,Japan,Germany,1.5,26.0,4.0,12.0,204.0,68.46,20.77,29.0,6.0,38.0,14.0,0,6.0,11.0,36.36,0,Win
11,Spain,Costa Rica,3.5,81.0,7.0,16.0,1009.0,92.31,9.89,14.0,4.0,4.0,8.0,0,5.0,15.0,40.91,0,Win
11,Costa Rica,Spain,0.0,19.0,0.0,0.0,178.0,69.53,28.83,21.0,14.0,18.0,12.0,0,0.0,4.0,59.09,0,Loss
12,Belgium,Canada,0.8,53.0,3.0,9.0,451.0,82.6,17.82,19.0,3.0,29.0,11.0,0,4.0,7.0,53.33,0,Win
12,Canada,Belgium,2.4,47.0,2.0,21.0,392.0,80.82,25.06,13.0,5.0,4.0,14.0,0,4.0,19.0,46.67,0,Loss
13,Switzerland,Cameroon,1.4,51.0,3.0,7.0,455.0,81.54,24.56,15.0,3.0,20.0,12.0,0,11.0,20.0,53.85,0,Win
13,Cameroon,Switzerland,0.7,49.0,5.0,8.0,442.0,82.31,19.78,12.0,11.0,17.0,10.0,0,5.0,23.0,46.15,0,Loss
14,Uruguay,Korea Republic,0.6,56.0,1.0,10.0,475.0,81.2,13.46,16.0,10.0,20.0,7.0,0,4.0,13.0,54.35,0,Draw
14,Korea Republic,Uruguay,0.6,44.0,0.0,7.0,350.0,74.95,21.59,12.0,10.0,16.0,10.0,0,3.0,19.0,45.65,0,Draw
15,Portugal,Ghana,2.0,62.0,4.0,10.0,572.0,86.67,15.62,16.0,5.0,15.0,14.0,0,3.0,20.0,73.08,0,Win
15,Ghana,Portugal,0.9,38.0,3.0,9.0,328.0,79.42,28.6,14.0,6.0,17.0,19.0,0,3.0,11.0,26.92,0,Loss
16,Brazil,Serbia,2.4,59.0,9.0,23.0,534.0,85.03,18.11,17.0,2.0,16.0,7.0,0,6.0,17.0,42.11,0,Win
16,Serbia,Brazil,0.2,41.0,0.0,5.0,344.0,78.36,15.26,24.0,11.0,22.0,12.0,0,4.0,13.0,57.89,0,Loss
17,Wales,IR Iran,0.9,62.0,3.0,10.0,437.0,76.94,13.88,10.0,6.0,30.0,9.0,0,2.0,20.0,58.33,0,Loss
17,IR Iran,Wales,1.4,38.0,6.0,21.0,222.0,63.43,13.24,19.0,14.0,20.0,10.0,0,7.0,24.0,41.67,0,Win
18,Qatar,Senegal,1.0,45.0,3.0,10.0,333.0,79.86,17.65,16.0,10.0,16.0,7.0,0,6.0,20.0,44.44,0,Loss
18,Senegal,Qatar,0.8,55.0,5.0,13.0,459.0,83.76,25.62,8.0,5.0,18.0,12.0,0,6.0,18.0,55.56,0,Win
19,Netherlands,Ecuador,0.1,54.0,1.0,2.0,442.0,81.55,10.53,25.0,9.0,23.0,15.0,0,2.0,7.0,54.55,0,Draw
19,Ecuador,Netherlands,1.7,46.0,4.0,15.0,358.0,76.5,17.68,16.0,9.0,16.0,12.0,0,5.0,22.0,45.45,0,Draw
20,England,United States,0.8,55.0,3.0,8.0,495.0,85.79,21.0,9.0,9.0,21.0,9.0,0,3.0,14.0,52.38,0,Draw
20,United States,England,0.6,45.0,1.0,10.0,378.0,81.64,33.0,12.0,3.0,15.0,15.0,0,7.0,16.0,47.62,0,Draw
21,Tunisia,Australia,0.9,59.0,4.0,14.0,418.0,73.98,10.15,18.0,8.0,24.0,16.0,0,5.0,25.0,52.0,0,Loss
21,Australia,Tunisia,0.6,41.0,2.0,9.0,264.0,66.33,13.93,19.0,11.0,38.0,15.0,0,2.0,21.0,48.0,0,Win
22,Poland,Saudi Arabia,1.6,37.0,3.0,9.0,249.0,73.89,21.95,13.0,9.0,29.0,18.0,0,4.0,16.0,42.86,0,Win
22,Saudi Arabia,Poland,1.7,63.0,4.0,15.0,483.0,82.99,10.83,14.0,9.0,13.0,15.0,0,5.0,20.0,57.14,0,Loss
23,France,Denmark,2.4,49.0,6.0,21.0,455.0,84.42,16.17,20.0,10.0,15.0,4.0,0,6.0,20.0,39.13,0,Win
23,Denmark,France,0.6,51.0,2.0,10.0,485.0,84.79,18.96,19.0,5.0,18.0,9.0,0,4.0,16.0,60.87,0,Loss
24,Argentina,Mexico,0.3,58.0,2.0,5.0,471.0,82.92,14.48,14.0,7.0,18.0,15.0,0,4.0,13.0,51.72,0,Win
24,Mexico,Argentina,0.3,42.0,1.0,4.0,304.0,74.33,15.19,18.0,13.0,17.0,19.0,0,2.0,15.0,48.28,0,Loss
25,Japan,Costa Rica,0.9,57.0,3.0,13.0,528.0,85.3,17.67,17.0,4.0,7.0,22.0,0,5.0,14.0,48.0,0,Loss
25,Costa Rica,Japan,0.1,43.0,1.0,4.0,371.0,78.44,15.53,25.0,9.0,20.0,9.0,0,0.0,6.0,52.0,0,Win
26,Belgium,Morocco,1.0,67.0,3.0,10.0,602.0,85.88,13.05,15.0,7.0,5.0,10.0,0,9.0,22.0,57.69,0,Loss
26,Morocco,Belgium,1.5,33.0,4.0,10.0,287.0,81.77,19.42,22.0,9.0,24.0,14.0,0,1.0,8.0,42.31,0,Win
