match,tournament,score,home_team,away_team,home_xg,away_xg,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_completed_passes,away_completed_passes,home_attempted_pases,away_attempted_pases,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_aerials_won,away_aerials_won
Canada vs Morocco,World Cup 2022,1-2,Canada,Morocco,1.1,0.43,58.8,41.2,1,2,5,7,480,310,562,393,21,42,10,13,10,10,10,10,5,5,10,10,1,1
England vs Iran,World Cup 2022,6-2,England,Iran,1.99,1.46,77.4,22.6,8,2,13,8,746,163,846,247,30,25,6,21,10,10,10,10,5,5,10,10,0,0
Croatia vs Belgium,World Cup 2022,0-0,Croatia,Belgium,0.7,2.38,49.2,50.8,4,4,11,16,514,543,609,630,22,24,12,12,10,10,10,10,5,5,10,10,4,4
Netherlands vs Ecuador,World Cup 2022,1-1,Netherlands,Ecuador,0.1,1.65,54.4,45.6,1,5,2,15,457,359,552,463,49,45,5,15,10,10,10,10,5,5,10,10,2,2
Japan vs Spain,World Cup 2022,2-1,Japan,Spain,1.16,0.86,18.8,81.2,3,5,6,12,177,993,253,1093,27,28,14,9,10,10,10,10,5,5,10,10,2,2
England vs United States,World Cup 2022,0-0,England,United States,0.46,0.51,56.1,43.9,3,2,8,10,500,377,582,456,19,36,7,4,10,10,10,10,5,5,10,10,0,0
Iran vs United States,World Cup 2022,0-1,Iran,United States,0.92,1.17,49.9,50.1,1,5,4,12,402,426,515,517,41,37,11,8,10,10,10,10,5,5,10,10,1,1
Morocco vs Croatia,World Cup 2022,0-0,Morocco,Croatia,0.36,0.85,35.9,64.1,2,1,8,5,301,577,384,686,36,37,15,12,10,10,10,10,5,5,10,10,6,6
Wales vs Iran,World Cup 2022,0-2,Wales,Iran,0.62,1.45,60.6,39.4,3,8,10,21,438,227,559,363,26,44,10,15,10,10,10,10,5,5,10,10,4,4
Tunisia vs France,World Cup 2022,1-0,Tunisia,France,0.3,0.48,35.3,64.7,3,3,5,10,275,564,361,661,44,42,13,12,10,10,10,10,5,5,10,10,4,4
